%column 1: human-friendly name
%column 2: Wikidata id
"Vector space" Q125977
"Probability density function" Q207522
"Independence of random variables" Q625303
"Moments" Q1451745
"Convergence in probability" Q578985
"Markov inequality" Q842436
"Strong law of large numbers" Q207952
"Lagrange interpolation" Q861606
"Orthogonality" Q215067
"Special linear group" Q2140900
"Elementary row operations" Q609566
"Gaussian elimination" Q2658
"Diagonalization" Q1208191
"Jordan normal form" Q838495
"Irreducible representation" Q13690522
"Special orthogonal group" Q1783179
"Special unitary group" Q684363
Convolution (mathematics) Q210857
"Algebra over a commutative ring" Q1000660
"Newton's identities" Q1749812
"Partial fraction decomposition" Q431617
"Sylvester's law of inertia" Q1752621
"Special orthogonal group" Q1783179
"Special unitary group" Q684363
"Polar decomposition" Q2101158
"Affine property" Q382698
"Inscribed angle theorem" Q915985
"Regular polygons" Q714886
Focus (mathematics) Q3568
Eccentricity (mathematics) Q104486
Eccentricity (graph theory) Q2742711
"Comparison test" Q17129258
"Absolute convergence" Q332465
"Taylor series expansion" Q131187
"Improper integrals" Q464118
"Absolute convergence" Q332465
"Conditional convergence" Q2425336
"Normal convergence" Q1512559
"Convex function" Q319913
"Antiderivative" Q114326
"Cauchy-Riemann equations" Q622741
"Contour integral" Q856103
"Antiderivative" Q114326
"Winding number" Q576728
"Laurent series" Q425432
"Meromorphic function" Q217616
"Residue theorem" Q830513
"Equivalent norms" Q956437
"Hilbert basis" Q5761206
"Directional derivative" Q383851
"Partial derivative" Q186475
"Jacobian matrix" Q506041
"Gradient vector" Q173582
"Hessian matrix" Q620495
"Taylor's theorem" Q1137206
"Linearisation theorem" Q211981
"Tangent space" Q909601
Gradient (calculus) Q173582
"Line integral" Q467699
"Curve length" Q670036
"Lagrange multipliers" Q598870
"Change of variables" Q1934165
"Riemann-Lebesgue lemma" Q1187640
"Dirichlet theorem" Q1217467
"Fejer theorem" Q571154
"Fourier transform" Q6520159
"Law of total probability" Q1989192
"Uniform law" Q16862633
"Exponential law" Q582659
Characteristic function (probability) Q822139
"Weak law of large numbers" Q207952
"Central limit theorem" Q190391
"Partitions of unity" Q191690
Distribution (mathematics) Q865811
Distribution (differential geometry) Q564835
Distribution (probability) Q200726
"Dirac measure" Q1227387
"Cauchy principal value" Q769374
"Support of a distribution" Q1136376
"Gaussian function" Q1054475
Convolution (mathematics Q210857
"Tempered distribution" Q3030799
"Periodic function" Q184743
"Dirac comb" Q385599
"Fourier transform" Q6520159
"Inverse Fourier transform" Q3984053
"Fourier-Laplace transform" Q199691
"Laplace equations" Q339444
Conditioning (probability) Q5159291
"LU decomposition" Q833089
"Singular value decomposition" Q420904
"Brute force method" Q9299950
"Bisection method" Q866300
"Rate of convergence" Q1783502
"Rectangle method" Q1156903
"Monte-Carlo method" Q232207
"Rate of convergence" Q1783502
"Cauchy's problem" Q1412436
"Consistency" Q1319773
Stability (mathematics) Q1756677
Stability (probability) Q7595717
Convergence (mathematics) Q1211057
Order (mathematics) Q1820515
Order (graph theory) Q141488
Order (group theory) Q589491
Order (ring theory) Q1431456
"Discrete Fourier transform" Q2878
"Fast Fourier transform: Q623950Diagonalization" Q1208191
"Jordan normal form" Q838495
"Irreducible representation" Q13690522
"Special orthogonal group" Q1783179
"Special unitary group" Q684363
Convolution (mathematics) Q210857
"Algebra over a commutative ring" Q1000660
"Newton's identities" Q1749812
"Partial fraction decomposition" Q431617
"Sylvester's law of inertia" Q1752621
"Special orthogonal group" Q1783179
"Special unitary group" Q684363
"Polar decomposition" Q2101158
"Affine property" Q382698
"Inscribed angle theorem" Q915985
"Regular polygons" Q714886
Focus (mathematics) Q3568
Eccentricity (mathematics) Q104486
Eccentricity (graph theory) Q2742711
"Comparison test" Q17129258
"Absolute convergence" Q332465
"Taylor series expansion" Q131187
"Improper integrals" Q464118
"Absolute convergence" Q332465
"Conditional convergence" Q2425336
"Normal convergence" Q1512559
"Convex function" Q319913
"Antiderivative" Q114326
"Cauchy-Riemann equations" Q622741
"Contour integral" Q856103
"Antiderivative" Q114326
"Winding number" Q576728
"Laurent series" Q425432
"Meromorphic function" Q217616
"Residue theorem" Q830513
"Equivalent norms" Q956437
"Hilbert basis" Q5761206
"Directional derivative" Q383851
"Partial derivative" Q186475
"Jacobian matrix" Q506041
"Gradient vector" Q173582
"Hessian matrix" Q620495
"Taylor's theorem" Q1137206
"Linearisation theorem" Q211981
"Tangent space" Q909601
Gradient (calculus) Q173582
"Line integral" Q467699
"Curve length" Q670036
"Lagrange multipliers" Q598870
"Change of variables" Q1934165
"Riemann-Lebesgue lemma" Q1187640
"Dirichlet theorem" Q1217467
"Fejer theorem" Q571154
"Fourier transform" Q6520159
"Law of total probability" Q1989192
"Uniform law" Q16862633
"Exponential law" Q582659
Characteristic function (probability) Q822139
"Weak law of large numbers" Q207952
"Central limit theorem" Q190391
"Partitions of unity" Q191690
Distribution (mathematics) Q865811
Distribution (differential geometry) Q564835
Distribution (probability) Q200726
"Dirac measure" Q1227387
"Cauchy principal value" Q769374
"Support of a distribution" Q1136376
"Gaussian function" Q1054475
Convolution (mathematics) Q210857
"Tempered distribution" Q3030799
"Periodic function" Q184743
"Dirac comb" Q385599
"Fourier transform" Q6520159
"Inverse Fourier transform" Q3984053
"Fourier-Laplace transform" Q199691
"Laplace equations" Q339444
Conditioning (probability) Q5159291
"LU decomposition" Q833089
"Singular value decomposition" Q420904
"Brute force method" Q9299950
"Bisection method" Q866300
"Rate of convergence" Q1783502
"Rectangle method" Q1156903
"Monte-Carlo method" Q232207
"Rate of convergence" Q1783502
"Cauchy's problem" Q1412436
"Consistency" Q1319773
Stability (mathematics) Q1756677
Stability (probability) Q7595717
Convergence (mathematics) Q1211057
Order (mathematics) Q1820515
Order (graph theory) Q141488
Order (group theory) Q589491
Order (ring theory) Q1431456
"Discrete Fourier transform" Q2878
"Fast Fourier transform" Q623950
